Unnamed: 0,id_x,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,id_y,Emotion_Category
34,59051,Women,Footwear,Shoes,Flats,Black,Rainy,2012.0,Casual,Carlton London Women Black & Gold Toned Flats,20.0,Anger
39,3954,Women,Apparel,Topwear,Tshirts,Pink,Sunny,2011.0,Casual,Jealous 21 Women's Pink T-shirt,2.0,Joy
41,2886,Women,Footwear,Shoes,Flats,Brown,Rainy,2015.0,Casual,Catwalk Women Leather Brown Flats,27.0,Sadness
44,8580,Men,Apparel,Topwear,Waistcoat,Grey,Rainy,2011.0,Casual,Scullers Men  Grey Waistcoat,28.0,Sadness
45,3168,Men,Footwear,Shoes,Sports Shoes,White,Rainy,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,4.0,Joy
46,18005,Men,Apparel,Bottomwear,Shorts,Black,Sunny,2011.0,Sports,Puma Men Long Logo Black Bermuda,20.0,Anger
48,9452,Men,Apparel,Topwear,Shirts,Red,Rainy,2011.0,Formal,John Miller Men Stripes White Red Shirts,0.0,Joy
51,10268,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,20.0,Anger
54,59435,Men,Footwear,Shoes,Formal Shoes,Black,Sunny,2012.0,Formal,Arrow Men Black Formal Shoes,20.0,Anger
55,5891,Men,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,20.0,Anger
56,38630,Women,Apparel,Topwear,Tshirts,Purple,Sunny,2012.0,Casual,Nike Women Purple Polo T-shirt,26.0,Sadness
57,4943,Men,Apparel,Topwear,Shirts,White,Sunny,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,4.0,Joy
59,10866,Men,Apparel,Topwear,Tshirts,Red,Rainy,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,0.0,Joy
61,15528,Men,Apparel,Topwear,Tshirts,Black,Rainy,2011.0,Casual,Puma Men Scribble Black Tshirts,20.0,Anger
64,22198,Men,Footwear,Shoes,Casual Shoes,Black,Rainy,2012.0,Casual,Timberland Men Black Casual Shoes,20.0,Anger
65,29570,Men,Footwear,Shoes,Casual Shoes,Purple,Sunny,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,26.0,Sadness
67,6628,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,4.0,Joy
68,54924,Men,Apparel,Bottomwear,Shorts,Blue,Sunny,2012.0,Casual,Do U Speak Green Men Blue Shorts,13.0,Contentment
69,26538,Men,Footwear,Shoes,Casual Shoes,Red,Rainy,2012.0,Casual,ID Men Red Shoes,0.0,Joy
71,49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Sunny,2012.0,Casual,Vans Men Khaki Shoes,22.0,Anger
72,9660,Men,Apparel,Topwear,Shirts,Pink,Rainy,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,2.0,Joy
73,2288,Women,Apparel,Topwear,Tshirts,Black,Rainy,2010.0,Sports,Nike Women Black T-shirt,20.0,Anger
74,23876,Men,Apparel,Topwear,Sweatshirts,Blue,Rainy,2011.0,Casual,ADIDAS Men Blue Sweatshirt,13.0,Contentment
75,18237,Men,Apparel,Topwear,Tshirts,Red,Rainy,2011.0,Casual,Manchester United Men Solid Red Tshirt,0.0,Joy
76,54118,Women,Footwear,Shoes,Heels,Black,Rainy,2012.0,Casual,Rocia Women Black Flats,20.0,Anger
77,2872,Women,Footwear,Shoes,Heels,Brown,Rainy,2015.0,Casual,Catwalk Women Leather Flats,27.0,Sadness
78,49653,Women,Apparel,Topwear,Tops,Green,Sunny,2012.0,Casual,Mineral Women Green Top,12.0,Contentment
79,8574,Women,Footwear,Sandal,Sandals,Pink,Rainy,2011.0,Casual,Crocs Dora Boots Pink Sandals,2.0,Joy
81,19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Rainy,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,39.0,Neutral
82,13419,Men,Apparel,Topwear,Tshirts,Pink,Sunny,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,2.0,Joy
84,43369,Men,Footwear,Flip Flops,Flip Flops,Black,Sunny,2013.0,Casual,Reebok Men Black Possession Flip Flops,20.0,Anger
89,33822,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,4.0,Joy
90,58513,Women,Apparel,Topwear,Tops,Off White,Sunny,2012.0,Casual,Tonga Women Maroon Top,40.0,Neutral
93,5865,Men,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,20.0,Anger
94,39716,Women,Apparel,Dress,Dresses,Blue,Sunny,2012.0,Casual,Arrow Woman Women Blue Dress,13.0,Contentment
96,11940,Men,Footwear,Sandal,Sandals,Black,Sunny,2011.0,Casual,Ganuchi Men Casual Black Sandals,20.0,Anger
98,29584,Men,Apparel,Topwear,Tshirts,Black,Sunny,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,20.0,Anger
100,28456,Women,Apparel,Bottomwear,Skirts,Blue,Sunny,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,13.0,Contentment
101,34009,Women,Apparel,Topwear,Tops,Black,Sunny,2012.0,Casual,Gini and Jony Girls Black Top,20.0,Anger
102,19311,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,4.0,Joy
103,42089,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,4.0,Joy
105,49461,Men,Footwear,Shoes,Casual Shoes,Blue,Sunny,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,13.0,Contentment
107,9694,Men,Apparel,Topwear,Tshirts,White,Rainy,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,4.0,Joy
108,23882,Men,Footwear,Shoes,Sports Shoes,Grey,Rainy,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,28.0,Sadness
109,34835,Men,Footwear,Shoes,Sports Shoes,Blue,Sunny,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,13.0,Contentment
110,15984,Men,Apparel,Topwear,Shirts,Yellow,Rainy,2011.0,Casual,Turtle Check Men Yellow Shirt,1.0,Joy
112,11518,Women,Footwear,Shoes,Heels,Grey,Rainy,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,28.0,Sadness
114,33648,Men,Footwear,Sandal,Sandals,Brown,Sunny,2012.0,Casual,Lotto Men Ridge Brown Sandals,27.0,Sadness
115,59297,Men,Apparel,Topwear,Shirts,White,Rainy,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,4.0,Joy
117,27846,Women,Apparel,Topwear,Blazers,Charcoal,Sunny,2012.0,Formal,Scullers For Her Charcoal Blazer,29.0,Sadness
118,26994,Women,Apparel,Bottomwear,Jeans,Black,Sunny,2012.0,Casual,Jealous 21 Women Black Jeans,20.0,Anger
119,49839,Women,Footwear,Flip Flops,Flip Flops,Red,Rainy,2012.0,Casual,iPanema Women Red Flip Flops,0.0,Joy
121,2618,Women,Footwear,Shoes,Flats,Silver,Sunny,2010.0,Casual,Carlton London Women Silver Wedge Sandal,39.0,Neutral
124,8322,Men,Apparel,Topwear,Tshirts,Blue,Rainy,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,13.0,Contentment
128,7158,Men,Apparel,Topwear,Shirts,Green,Rainy,2011.0,Casual,Scullers Men  Green Check Shirt,12.0,Contentment
129,18495,Men,Footwear,Sandal,Sandals,White,Rainy,2011.0,Casual,Puma Men Fashion Cat White Slipper,4.0,Joy
131,19547,Men,Apparel,Topwear,Sweatshirts,Blue,Rainy,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,13.0,Contentment
132,7964,Men,Apparel,Topwear,Tshirts,Black,Rainy,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,20.0,Anger
136,41866,Men,Footwear,Sandal,Sandals,Beige,Rainy,2015.0,Casual,Estd. 1977 Men Beige & Green Sandals,14.0,Contentment
138,44528,Men,Footwear,Sandal,Sandals,Black,Sunny,2012.0,Casual,Coolers Men Black Sandals,20.0,Anger
139,16392,Men,Apparel,Topwear,Shirts,Red,Rainy,2011.0,Casual,Levis Men Check Red Shirts,0.0,Joy
140,51455,Women,Apparel,Topwear,Shrug,Pink,Sunny,2012.0,Casual,Tonga Women Pink Printed Shrug,2.0,Joy
142,17240,Men,Apparel,Topwear,Tshirts,Black,Rainy,2011.0,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,20.0,Anger
143,47530,Women,Footwear,Shoes,Flats,Copper,Rainy,2012.0,Casual,Portia Women Copper-Toned & Brown Sandals,24.0,Anger
144,6617,Men,Apparel,Topwear,Shirts,Black,Sunny,2011.0,Casual,Spykar Men Black and white Check Shirt,20.0,Anger
146,3365,Men,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,Myntra Men's Brain Black T-shirt,20.0,Anger
147,42042,Men,Footwear,Shoes,Sports Shoes,White,Sunny,2012.0,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes,4.0,Joy
148,23849,Men,Footwear,Shoes,Casual Shoes,Black,Rainy,2011.0,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes,20.0,Anger
153,54127,Women,Footwear,Shoes,Heels,Black,Rainy,2012.0,Casual,Rocia Women Black Heels,20.0,Anger
154,10065,Men,Apparel,Topwear,Tshirts,Yellow,Rainy,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,1.0,Joy
155,24250,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2012.0,Casual,Numero Uno Men White Casual Shoes,4.0,Joy
159,5092,Men,Apparel,Topwear,Tshirts,Purple,Sunny,2011.0,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,26.0,Sadness
160,10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,37.0,Neutral
162,15517,Men,Footwear,Shoes,Casual Shoes,Red,Rainy,2011.0,Casual,Rockport Men LLandro Red Casual Shoes,0.0,Joy
163,4140,Women,Footwear,Shoes,Casual Shoes,Green,Rainy,2015.0,Casual,Skechers Women Green Shoe,12.0,Contentment
166,10257,Men,Apparel,Bottomwear,Trousers,Black,Rainy,2011.0,Formal,John Miller Men Solid Type Black Trousers,20.0,Anger
167,24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Sunny,2012.0,Casual,Locomotive Men Navy Blue Printed T-shirt,37.0,Neutral
169,11385,Women,Apparel,Topwear,Sweatshirts,Black,Rainy,2011.0,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,20.0,Anger
170,53130,Women,Footwear,Shoes,Flats,Brown,Rainy,2015.0,Casual,Catwalk Women Brown Sandals,27.0,Sadness
174,22395,Men,Apparel,Topwear,Shirts,Blue,Rainy,2011.0,Casual,Mark Taylor Men Striped Blue Shirt,13.0,Contentment
178,23247,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2011.0,Formal,Arrow Men Formal Black Shoe,20.0,Anger
180,31782,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,Lee Women Paula Blue Top,13.0,Contentment
182,12500,Men,Apparel,Topwear,Shirts,Black,Rainy,2011.0,Casual,United Colors of Benetton Men Short Black Shirts,20.0,Anger
184,30650,Men,Apparel,Topwear,Tshirts,Black,Sunny,2012.0,Casual,Nike Men Printed Black T-shirt,20.0,Anger
187,32563,Women,Apparel,Bottomwear,Trousers,Blue,Sunny,2012.0,Casual,ONLY Women directoire blue Trousers,13.0,Contentment
189,40143,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,Gini and Jony Girls Pretty Blossom Blue Top,13.0,Contentment
190,10633,Men,Footwear,Shoes,Formal Shoes,Brown,Rainy,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes,27.0,Sadness
193,21174,Women,Apparel,Topwear,Tops,Beige,Rainy,2011.0,Casual,s.Oliver Women Stripes Beige Top,14.0,Contentment
194,15341,Women,Apparel,Bottomwear,Shorts,Pink,Rainy,2011.0,Sports,Nike Women Solid Pink Shorts,2.0,Joy
197,14293,Men,Apparel,Topwear,Tshirts,Blue,Rainy,2011.0,Casual,Classic Polo Men Stripes Blue Tshirts,13.0,Contentment
199,6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Sunny,2011.0,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,37.0,Neutral
200,23623,Women,Apparel,Topwear,Tops,Pink,Rainy,2011.0,Casual,Doodle Kids Girls Pink I love Shopping Top,2.0,Joy
201,17416,Men,Footwear,Shoes,Sports Shoes,Black,Rainy,2011.0,Sports,Lotto Men Atlantica Black Sports Shoe,20.0,Anger
202,9835,Women,Apparel,Topwear,Tshirts,Grey,Rainy,2011.0,Casual,Little Miss Women Printed Grey T-shirt,28.0,Sadness
204,7193,Women,Apparel,Bottomwear,Jeans,Black,Rainy,2011.0,Casual,Jealous 21 Women Black Jegging,20.0,Anger
205,12958,Men,Footwear,Shoes,Sports Shoes,Black,Rainy,2011.0,Sports,ADIDAS Men Sports Black Sports Shoes,20.0,Anger
207,30234,Men,Footwear,Flip Flops,Flip Flops,Black,Sunny,2012.0,Casual,Numero Uno Men Black Flip Flops,20.0,Anger
209,3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Sunny,2011.0,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,37.0,Neutral
213,17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Rainy,2011.0,Sports,ADIDAS Men Solid Navy Blue Track Pant,37.0,Neutral
214,47154,Women,Apparel,Bottomwear,Capris,Black,Sunny,2012.0,Casual,Gini and Jony Girls Black Capris,20.0,Anger
215,35574,Men,Footwear,Flip Flops,Flip Flops,Red,Sunny,2013.0,Casual,Gliders Men Esquire Red Flip Flops,0.0,Joy
216,46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Sunny,2012.0,Sports,ADIDAS Women Lavender Hagkok Sports Shoes,17.0,Contentment
218,13284,Men,Apparel,Bottomwear,Shorts,Black,Rainy,2011.0,Casual,Gini and Jony Kids Boys Solid Black Shorts,20.0,Anger
219,54543,Men,Footwear,Shoes,Sports Shoes,White,Rainy,2012.0,Casual,F Sports Men White Outlander Sports Shoes,4.0,Joy
221,26163,Men,Apparel,Bottomwear,Trousers,Grey,Sunny,2012.0,Formal,John Miller Men Dark Grey Trousers,28.0,Sadness
222,3701,Women,Apparel,Topwear,Tshirts,Black,Sunny,2011.0,Casual,Tantra Women Flower Heart Black Long T-shirt,20.0,Anger
225,32751,Men,Footwear,Shoes,Casual Shoes,Black,Sunny,2012.0,Casual,FILA Men Liga II Black Shoes,20.0,Anger
227,10401,Women,Apparel,Topwear,Tops,Purple,Rainy,2011.0,Casual,Jealous 21 Women Uaine Purple Tops,26.0,Sadness
228,40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Sunny,2012.0,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,37.0,Neutral
230,45603,Men,Footwear,Shoes,Formal Shoes,Black,Sunny,2012.0,Formal,Arrow Men Black Formal Shoes,20.0,Anger
231,4524,Men,Footwear,Shoes,Sports Shoes,Black,Sunny,2011.0,Sports,Puma Men's YugoRun Black White Shoe,20.0,Anger
232,37223,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,United Colors of Benetton Women Blue Top,13.0,Contentment
233,53766,Men,Apparel,Topwear,Tshirts,White,Sunny,2012.0,Casual,Puma Men White and Navy Blue T-shirt,4.0,Joy
234,25520,Women,Apparel,Topwear,Tops,White,Rainy,2011.0,Casual,Doodle Kids Girls City Chic White Top,4.0,Joy
235,32597,Women,Apparel,Topwear,Tops,Black,Sunny,2012.0,Casual,ONLY Women Black Top,20.0,Anger
238,57100,Women,Apparel,Topwear,Tops,Pink,Sunny,2012.0,Casual,Elle Women Dark Pink Top,2.0,Joy
239,36137,Women,Footwear,Shoes,Sports Shoes,Pink,Sunny,2012.0,Sports,Nike Women Free Run Pink Sports Shoes,2.0,Joy
240,41859,Men,Footwear,Sandal,Sandals,Black,Sunny,2016.0,Casual,Estd. 1977 Men Black Sandals,20.0,Anger
241,21180,Men,Footwear,Flip Flops,Flip Flops,Black,Sunny,2011.0,Casual,ADIDAS Men Adi Cells Black Flip Flops,20.0,Anger
242,39943,Men,Footwear,Shoes,Casual Shoes,Brown,Sunny,2013.0,Casual,GAS Men Brown Count Casual Shoes,27.0,Sadness
246,5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Sunny,2011.0,Casual,ADIDAS Women's Adi Groove Blue Flip Flop,13.0,Contentment
247,44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Sunny,2013.0,Casual,Coolers Men Brown Pokar Flip Flops,27.0,Sadness
250,8913,Men,Footwear,Shoes,Sports Shoes,White,Rainy,2011.0,Sports,Puma Men Cabana Racer Sketch White Sports Shoes,4.0,Joy
251,16530,Men,Apparel,Topwear,Shirts,Red,Rainy,2011.0,Casual,Locomotive Men Check Red Shirt,0.0,Joy
252,22705,Men,Footwear,Shoes,Casual Shoes,White,Rainy,2011.0,Casual,Nike Men White Capri II Casual Shoe,4.0,Joy
253,7167,Men,Apparel,Topwear,Shirts,Purple,Rainy,2011.0,Casual,Scullers Men Scul Purple White Shirt,26.0,Sadness
254,46240,Women,Apparel,Topwear,Tunics,White,Sunny,2012.0,Casual,Fusion Beats Women White Printed Tunic,4.0,Joy
256,13042,Women,Footwear,Shoes,Flats,Brown,Rainy,2012.0,Casual,Inc 5 Women Brown Heels,27.0,Sadness
257,6889,Women,Apparel,Topwear,Jackets,Cream,Sunny,2011.0,Casual,Forever New Women Stone Cream Jacket,16.0,Contentment
259,12190,Men,Apparel,Topwear,Shirts,Blue,Rainy,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt,13.0,Contentment
260,55657,Women,Footwear,Shoes,Heels,Gold,Rainy,2015.0,Casual,Catwalk Women Golden Wedges,34.0,Fear
261,19578,Women,Apparel,Topwear,Tops,Purple,Sunny,2011.0,Casual,United Colors of Benetton Women Solid Purple Top,26.0,Sadness
262,27879,Women,Apparel,Topwear,Tops,Blue,Sunny,2012.0,Casual,Scullers For Her Women Blue Top,13.0,Contentment
263,34452,Women,Footwear,Shoes,Flats,Copper,Rainy,2012.0,Casual,Rocia Women Copper Sandals,24.0,Anger
264,6287,Men,Apparel,Topwear,Tshirts,Yellow,Sunny,2011.0,Casual,Classic Polo Men's Swiss Yellow T-shirt,1.0,Joy
265,7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Casual,Tantra Men's Black Sabbath Navy T-shirt,37.0,Neutral
267,22537,Men,Footwear,Sandal,Sandals,Tan,Sunny,2013.0,Casual,Gas Men Eldorado Tan Casual  Sandals,25.0,Anger
269,43500,Men,Apparel,Topwear,Tshirts,White,Sunny,2012.0,Casual,French Connection Men White T-shirt,4.0,Joy
270,2627,Women,Footwear,Shoes,Flats,Silver,Rainy,2010.0,Casual,Carlton London Women Wedge Silver Sandal,39.0,Neutral
272,13270,Women,Apparel,Topwear,Tops,White,Rainy,2011.0,Casual,Palm Tree Kids Girls Printed White Tops,4.0,Joy
276,31120,Women,Apparel,Topwear,Tops,Pink,Sunny,2012.0,Casual,Palm Tree Girls Pink Top,2.0,Joy
278,11527,Men,Apparel,Topwear,Tshirts,Olive,Rainy,2011.0,Casual,United Colors of Benetton Men Olive Tshirts,18.0,Contentment
280,40385,Women,Apparel,Topwear,Tops,Yellow,Sunny,2012.0,Casual,Tokyo Talkies Women Yellow Top,1.0,Joy
281,15187,Men,Apparel,Topwear,Tshirts,White,Rainy,2011.0,Casual,Arrow Sport Men Solid White Polo Tshirts,4.0,Joy
283,44725,Women,Footwear,Flip Flops,Flip Flops,Orange,Sunny,2012.0,Casual,Lotto Women Coral Elegant Flip Flops,3.0,Joy
284,14055,Men,Apparel,Topwear,Shirts,Green,Rainy,2011.0,Casual,Flying Machine Men Check Green Shirts,12.0,Contentment
285,20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Rainy,2011.0,Casual,Wrangler Men Applique Navy Blue Tshirt,37.0,Neutral
286,7731,Men,Footwear,Flip Flops,Flip Flops,Grey,Rainy,2011.0,Casual,Puma Men's Winglet II Grey Yellow White Flip Flop,28.0,Sadness
287,22153,Men,Footwear,Sandal,Sandals,Brown,Sunny,2011.0,Casual,Lee Cooper Men Brown Casual Sandals,27.0,Sadness
288,43958,Men,Footwear,Sandal,Sandals,Olive,Rainy,2012.0,Casual,Puma Men Olive Techno Ind Sandal,18.0,Contentment
289,28469,Women,Apparel,Topwear,Tshirts,Pink,Sunny,2012.0,Casual,Urban Yoga Women Printed Pink T-shirt,2.0,Joy
291,34036,Men,Apparel,Topwear,Shirts,Blue,Sunny,2012.0,Casual,Palm Tree Boys Check Blue Shirt,13.0,Contentment
293,8779,Men,Apparel,Topwear,Shirts,Navy Blue,Rainy,2011.0,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,37.0,Neutral
296,2243,Men,Apparel,Topwear,Tshirts,White,Rainy,2010.0,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,4.0,Joy
300,33213,Women,Apparel,Topwear,Tops,Magenta,Sunny,2012.0,Casual,Sepia Women Printed Magenta Top,10.0,Joy
301,39729,Women,Apparel,Topwear,Tops,Olive,Sunny,2012.0,Casual,Arrow Woman Olive Top,18.0,Contentment
303,11143,Men,Apparel,Topwear,Shirts,Black,Rainy,2011.0,Casual,Scullers Men Price Catch Black Shirts,20.0,Anger
305,4988,Women,Apparel,Dress,Dresses,White,Sunny,2011.0,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,4.0,Joy
306,44341,Men,Apparel,Topwear,Tshirts,Blue,Sunny,2012.0,Casual,Indian Terrain Men Blue T-shirt,13.0,Contentment
307,14431,Women,Footwear,Shoes,Heels,Black,Sunny,2012.0,Casual,Enroute Women Casual Black Flats,20.0,Anger
314,11371,Men,Apparel,Topwear,Shirts,Black,Rainy,2011.0,Casual,United Colors Of Benetton Men Summer Black Shirts,20.0,Anger
315,41401,Women,Apparel,Topwear,Tops,White,Sunny,2012.0,Casual,Wrangler Women White Smocked Top,4.0,Joy
321,4386,Men,Apparel,Topwear,Tshirts,Grey,Sunny,2011.0,Casual,Wrangler Cowboy Photo T-shirt,28.0,Sadness
323,16154,Men,Footwear,Shoes,Formal Shoes,Black,Rainy,2011.0,Formal,Enroute Men Leather Black Formal Shoes,20.0,Anger
324,22361,Men,Footwear,Sandal,Sports Sandals,Navy Blue,Sunny,2012.0,Casual,Reebok Men Navy Twist Sandals,37.0,Neutral
325,29789,Men,Apparel,Topwear,Tshirts,Pink,Sunny,2013.0,Casual,Basics Men Pack of 3 T-shirt,2.0,Joy
327,7503,Men,Apparel,Topwear,Tshirts,Blue,Sunny,2011.0,Sports,Nike Men's As Icon Blue T-shirt,13.0,Contentment
329,34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Rainy,2013.0,Casual,Proline Men Navy Track Pants,37.0,Neutral
331,50741,Men,Footwear,Shoes,Casual Shoes,Black,Rainy,2018.0,Casual,Red Chief Men Black Shoes,20.0,Anger
333,13426,Men,Apparel,Topwear,Tshirts,Red,Sunny,2011.0,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts,0.0,Joy
334,43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Sunny,2012.0,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes,29.0,Sadness
336,13846,Men,Apparel,Topwear,Shirts,Blue,Rainy,2011.0,Casual,John Miller Men Stripes Blue Shirts,13.0,Contentment
337,12994,Men,Footwear,Shoes,Sports Shoes,Black,Rainy,2011.0,Sports,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes,20.0,Anger
338,46278,Women,Apparel,Topwear,Tunics,Red,Sunny,2012.0,Casual,109F Women Red & White Striped Tunic,0.0,Joy
339,16508,Men,Apparel,Bottomwear,Jeans,Blue,Rainy,2011.0,Casual,Locomotive Men Washed Blue Jeans,13.0,Contentment
340,18492,Men,Footwear,Flip Flops,Flip Flops,Blue,Rainy,2011.0,Casual,Puma Men Danny Blue Slipper,13.0,Contentment
341,19540,Men,Apparel,Topwear,Sweaters,Blue,Sunny,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweater,13.0,Contentment
342,7963,Men,Apparel,Topwear,Tshirts,White,Rainy,2011.0,Sports,Puma Men's Large Logo Graphic White French T-shirt,4.0,Joy
347,57138,Women,Apparel,Bottomwear,Trousers,Brown,Sunny,2012.0,Casual,Elle Women Brown Trousers,27.0,Sadness
